,H_IDNUM1,GEREG,GESTFIPS,HRHTYPE,HEFAMINC,H_MONTH,H_YEAR,H_HHNUM,H_LIVQRT,H_RESPNM,H_TYPE,H_TELHHD,H_TELAVL,H_TELINT,H_TENURE,H1TENURE,H1LIVQRT,H1TELHHD,H1TELAVL,H1TELINT,H_NUMPER,H_HHTYPE,H_TYPEBC,GESTCEN,CARE_VAL,HALMVAL,HALM_YN,HCHAMP,HCSPVAL,HCSP_YN,HDISVAL,HDIS_YN,HDIVVAL,HDIV_YN,HEARNVAL,HEDVAL,HED_YN,HENGAST,HENGVAL,HFINVAL,HFIN_YN,HFLUNCH,HFLUNNO,HFOODMO,HFOODNO,HFOODSP,HFRVAL,HH5TO18,HHINC,HHI_YN,HHOTLUN,HHOTNO,HHPOS,HHSTATUS,HINC_FR,HINC_SE,HINC_UC,HINC_WC,HINC_WS,HINTVAL,HINT_YN,HLORENT,HMCAID,HMCARE,HNUMFAM,HOIVAL,HOI_YN,HOTHVAL,HPAWVAL,HPAW_YN,HPCTCUT,HPRES_MORT,HPROP_VAL,HPUBLIC,HRECORD,HRETVAL,HRET_YN,HRNTVAL,HRNT_YN,HRNUMWIC,HRPAIDCC,HRWICYN,HSEVAL,HSSIVAL,HSSI_YN,HSSVAL,HSS_YN,HSUP_WGT,HSURVAL,HSUR_YN,HTOP5PCT,HTOTVAL,HUCVAL,HUNDER15,HUNDER18,HUNITS,HVETVAL,HVET_YN,HWCVAL,HWSVAL,H_SEQ,I_CAREVAL,I_HENGAS,I_HENGVA,I_HFLUNC,I_HFLUNN,I_HFOODM,I_HFOODN,I_HFOODS,I_HHOTLU,I_HHOTNO,I_HLOREN,I_HPUBLI,I_HUNITS,I_PROPVAL,TCARE_VAL,THPROP_VAL,GTCBSA,GTCO,GTCBSAST,GTCBSASZ,GTCSA,GTMETSTA,GTINDVPC,H_MIS,H_IDNUM2,MMYY
0,066073399205201,1.0,23.0,7.0,6.0,3.0,2017.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,8400.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8400.0,1.0,2020184.0,0.0,2.0,2.0,8400.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5011.0,032017
1,020310475069676,1.0,23.0,0.0,-1.0,3.0,2017.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5011.0,032017
2,053765501920200,1.0,23.0,1.0,14.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,28.0,1.0,135000.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,28.0,0.0,2.0,17.0,1.0,100000.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1927254.0,0.0,2.0,2.0,135028.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,135000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5011.0,032017
3,019093885204621,1.0,23.0,0.0,-1.0,3.0,2017.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5011.0,032017
4,341750666901002,1.0,23.0,1.0,15.0,3.0,2017.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,3000.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,100000.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,41.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,15.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1849119.0,0.0,2.0,2.0,100000.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6111.0,032017
5,743728201580203,1.0,23.0,4.0,6.0,3.0,2017.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,12.0,3.0,1.0,0.0,2.0,18.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,44013.0,0.0,2.0,8.0,1.0,150000.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,44013.0,1.0,1585778.0,0.0,2.0,2.0,44013.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6011.0,032017
6,075013244209181,1.0,23.0,6.0,3.0,3.0,2017.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,21.0,0.0,2.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,8600.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8600.0,1.0,0.0,2.0,2061274.0,0.0,2.0,2.0,8600.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6011.0,032017
7,903577701470205,1.0,23.0,1.0,15.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,100000.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,100.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,100.0,0.0,2.0,15.0,1.0,230000.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1585778.0,0.0,2.0,2.0,100100.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,100000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6011.0,032017
8,030073441208631,1.0,23.0,7.0,1.0,3.0,2017.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,17259.0,0.0,2.0,3.0,2.0,100000.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,17259.0,1.0,2020020.0,0.0,2.0,2.0,17259.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6011.0,032017
9,309204510310951,1.0,23.0,6.0,13.0,3.0,2017.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,50000.0,0.0,2.0,9.0,2.0,150000.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,50000.0,1.0,1744025.0,0.0,2.0,2.0,50000.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5111.0,032017
